Provider,Name,Longitude,Latitude,Elevation,HN_year_start,HN_year_end,HS_year_start,HS_year_end
AT_HZB,Breitenstein,15.8177777777778,47.6577777777778,722,1991,2016,1991,2016
AT_HZB,Bromberg_103341,12.2261111111111,47.4866666666667,1180,1986,2016,1986,2016
AT_HZB,Bromberg_109983,16.205,47.6633333333333,419,1970,2016,1970,2016
AT_HZB,Brunnbach,14.5141666666667,47.8158333333333,595,2006,2016,2006,2016
AT_HZB,Brunngraben,15.2883333333333,47.7263888888889,710,1970,2016,1970,2016
AT_HZB,Dalaas,10.0288888888889,47.1288888888889,951,1970,2016,1970,2016
AT_HZB,Deutsch_Jahrndorf,17.1011111111111,48.0036111111111,131,1989,2016,1989,2016
AT_HZB,Deutsch_Kaltenbrunn,16.1241666666667,47.0894444444445,358,1991,2016,1991,2016
AT_HZB,Deutschkreutz,16.6394444444444,47.5941666666667,175,1970,2016,1970,2016
AT_HZB,Diex,14.6172222222222,46.7441666666667,1150,1970,2016,1970,2016
AT_HZB,Dobersberg,15.3169444444444,48.9183333333333,488,2003,2016,2003,2016
AT_HZB,Donnersbachwald,14.1222222222222,47.3766666666667,980,1975,2016,1975,2016
AT_HZB,Donnerskirchen,16.6602777777778,47.8891666666667,126,1970,2016,1970,2016
AT_HZB,Donnerskirchen_Waldgasse_,16.6352777777778,47.9063888888889,206,1987,2016,1987,2016
AT_HZB,Doren,9.86138888888889,47.49,710,1970,2016,1970,2016
AT_HZB,Dornbirn,9.73861111111111,47.4047222222222,441,1970,2016,1970,2016
AT_HZB,Drassburg,16.4916666666667,47.7469444444445,229,1970,2016,1970,2016
AT_HZB,Dreifaltigkeit,14.2866666666667,46.8066666666667,1180,1970,2016,1970,2016
AT_HZB,Dresdner_Hutte,11.14,46.9975,2290,1978,2016,1978,2016
AT_HZB,Durnbach_im_Burgenland,16.3886111111111,47.2630555555556,292,1992,2016,1992,2016
AT_HZB,Durnkrut,16.8455555555556,48.4730555555556,163,1970,2016,,
AT_HZB,Durrnberg,13.0919444444444,47.6680555555556,726,2006,2016,2006,2016
AT_HZB,Ebelsberg_Gottschallingerstr_,14.3186111111111,48.2372222222222,261,1970,2016,1970,2016
AT_HZB,Ebensee_Wasserwerk_,13.7838888888889,47.8005555555556,422,1988,2016,1988,2016
AT_HZB,Eberau,16.4586111111111,47.1094444444445,215,1970,2016,1970,2016
AT_HZB,Eberschwang,13.5608333333333,48.1583333333333,535,2006,2016,2006,2016
AT_HZB,Ebnit,9.74944444444444,47.3511111111111,1051,1970,2016,1970,2016
AT_HZB,Eckartsau,16.7975,48.1477777777778,146,1970,2016,1970,2016
AT_HZB,Edmundshof,16.9958333333333,47.9055555555556,148,1970,2016,1970,2016
AT_HZB,Eferding,14.0169444444444,48.3227777777778,274,1996,2016,1996,2016
AT_HZB,Egg,9.91194444444444,47.4363888888889,660,1970,2016,1970,2016
AT_HZB,Eggenburg,15.8172222222222,48.6361111111111,362,2011,2016,2011,2016
AT_HZB,Eibiswald,15.2586111111111,46.6916666666667,360,1970,2016,1970,2016
AT_HZB,Eisenberg_an_der_Pinka,16.4247222222222,47.1797222222222,247,1970,2016,1970,2016
AT_HZB,Eisenkappel,14.5927777777778,46.4733333333333,623,1970,2016,1970,2016
AT_HZB,Eisenstadt,16.5430555555556,47.8566666666667,195,1988,2016,1988,2016
AT_HZB,Ellmau,12.2786111111111,47.525,750,1970,2016,1970,2016
AT_HZB,Elmen_Martinau,10.5436111111111,47.3583333333333,954,1970,2016,1970,2016
AT_HZB,Eltendorf,16.1961111111111,47.0097222222222,244,1994,2016,1994,2016
AT_HZB,Enns,14.4802777777778,48.2038888888889,259,1970,2016,1970,2016
AT_HZB,Ennsbach,15.0280555555556,48.1480555555556,244,1970,2016,1970,2016
AT_HZB,Eugendorf,13.1219444444444,47.8852777777778,520,1970,2016,1970,2016
AT_HZB,Faak_am_See,13.9147222222222,46.5627777777778,585,2003,2016,2003,2016
AT_HZB,Fehring,16.0177777777778,46.9333333333333,260,1974,2016,1974,2016
AT_HZB,Feistritz_an_der_Gail,13.6105555555556,46.5766666666667,561,1970,2016,1970,2016
AT_HZB,Felbertauerntunnel_Sud,12.5055555555556,47.1183333333333,1637,1978,2016,1978,2016
AT_HZB,Festenburg_Hinterberg,15.9233333333333,47.4875,920,1999,2016,1999,2016
AT_HZB,Fieberbrunn,12.5502777777778,47.4683333333333,850,1978,2016,1978,2016
AT_HZB,Filzmoos,13.5230555555556,47.4355555555556,1050,1970,2016,1970,2016
AT_HZB,Flachau,13.3958333333333,47.3472222222222,910,1970,2016,1970,2016
AT_HZB,Fladnitzberg,15.4827777777778,47.3075,1070,1987,2016,1987,2016
AT_HZB,Flattnitz,14.0369444444444,46.9413888888889,1430,1970,2016,1970,2016
AT_HZB,Flirsch,10.4108333333333,47.1522222222222,1204,1989,2016,1989,2016
AT_HZB,Forchach,10.5858333333333,47.4197222222222,910,1970,2016,1970,2016
AT_HZB,Forchtenstein,16.335,47.7088888888889,397,1970,2016,1970,2016
AT_HZB,Frankenau,16.6025,47.4519444444445,208,1993,2016,1993,2016
AT_HZB,Frankenburg,13.4933333333333,48.0677777777778,515,1970,2016,1970,2016
AT_HZB,Frankenfels,15.3277777777778,47.9825,468,1970,2016,1970,2016
